directors,actors,runtime,production_company,audience_rating,G,NC17,NR,PG,PG-13,R,Action & Adventure,Animation,Anime & Manga,Art House & International,Classics,Comedy,Cult Movies,Documentary,Drama,Faith & Spirituality,Gay & Lesbian,Horror,Kids & Family,Musical & Performing Arts,Mystery & Suspense,Romance,Science Fiction & Fantasy,Special Interest,Sports & Fitness,Television,Western
"Stuart Dryburgh, Mira Nair","Hilary Swank, Richard Gere, Ewan McGregor, Christopher Eccleston, Joe Anderson (VI)",111.0,Fox Searchlight Pictures,31.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz, Serge Merlin, Rufus, Jamel Debbouze",121.0,Miramax Films,95.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Costa-Gavras,"Ulrich Tukur, Mathieu Kassovitz, Ulrich Mühe, Michel Duchaussoy, Ion Caramitru",132.0,Kino International,82.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Hélène Cattet, Bruno Forzani","Charlotte Eugene-Guibbaud, Cassandra Forêt, Marie Bos, Bianca Maria D'Amato, Harry Cleven",90.0,Olive Films,54.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"John Sullivan, Dinesh D'Souza",Dinesh D'Souza,103.0,Lionsgate Films,84.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Desmond Nakano,"Aaron Yoo, Gary Cole, Leonardo Nam, Masatoshi Nakamura, Judy Ongg",105.0,Warner Home Video,68.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Joe Nussbaum,"John White, Jessy Schram, Candace Kaye Kroslak, Christopher McDonald, Eugene Levy",102.0,Universal Studios Home Video,61.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matt Harlock, Paul Thomas","Bill Hicks, Mary Hicks, Steve Hicks (II), Lynn Hicks, Kevin Booth",106.0,Variance Films,85.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Bart Layton,"Barry Keoghan, Evan Peters, Blake Jenner, Jared Abrahamson, Ann Dowd",116.0,The Orchard,81.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Michael Cuesta,"Michael Keaton, Sanaa Lathan, Taylor Kitsch, Shiva Negar, Scott Adkins",111.0,Lionsgate and CBS Films,60.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Cory McAbee,"Cory McAbee, Rocco Sisto, Gregory Russell Cook, Annie Golden, James Ransone",94.0,Artistic License Films,89.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Tommy O'Haver,"Catherine Keener, Ellen Page, James Franco, Ari Graynor, Nick Searcy",98.0,First Look Studios,74.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Paul Weitz,"Hugh Grant, Dennis Quaid, Mandy Moore, Willem Dafoe, Chris Klein",107.0,Universal Pictures,31.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ridley Scott,"Denzel Washington, Russell Crowe, Josh Brolin, Chiwetel Ejiofor, Lymari Nadal",157.0,Universal Pictures,87.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Aric Avelino,"Donald Sutherland, Forest Whitaker, Marcia Gay Harden, Linda Cardellini, Tony Goldwyn",95.0,IFC Films,43.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Paul Rachman,"The Circle Jerks, Flea, M.D.C., Poison Idea, SS Decontrol",100.0,Sony Pictures Classics,78.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Courtney Solomon,"Donald Sutherland, Sissy Spacek, James D'Arcy, Rachel Hurd-Wood, Matthew Marsh",90.0,Freestyle Releasing,36.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Sarik Andreasyan,"Hayden Christensen, Adrien Brody, Akon, Jordana Brewster, Aaron V. Williamson",90.0,Lionsgate,18.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andrea Arnold,"Sasha Lane, Shia LaBeouf, Riley Keough, McCaul Lombardi, Arielle Holmes",162.0,Parts and Labor,63.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
David O. Russell,"Christian Bale, Bradley Cooper, Amy Adams, Jeremy Renner, Jennifer Lawrence",138.0,Sony Pictures,74.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Doug Liman,"Tom Cruise, Domhnall Gleeson, Sarah Wright, Jesse Plemons, Caleb Landry Jones",115.0,Universal Pictures,78.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"Sylvia Soska, Jen Soska","Katherine Isabelle, Katharine Isabelle, Antonio Cupo, Tristan Risk, David Lovgren",103.0,Xlrator Media,52.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Les Mayfield,"Colin Farrell, Scott Caan, Ali Larter, Gabriel Macht, Gregory Smith",93.0,Warner Bros.,68.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ewan McGregor,"Ewan McGregor, Jennifer Connelly, Dakota Fanning, Peter Riegert, Rupert Evans",108.0,Lakeshore Entertainment,30.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"J.B. Rogers, James B. Rogers","Jason Biggs, Shannon Elizabeth, Jennifer Coolidge, Alyson Hannigan, Shannon Elizabeth Fadal",105.0,Universal Pictures,68.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Rash,"Tad Hilgenbrinck, Arielle Kebbel, Jason Earles, Eugene Levy, Tara Killian",91.0,Universal Pictures,50.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mary Harron,"Christian Bale, Willem Dafoe, Jared Leto, Josh Lucas, Samantha Mathis",103.0,Lionsgate,85.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"Morgan J. Freeman, Morgan Freeman","Mila Kunis, William Shatner, Geraint Wyn Davies, Robin Dunne, Lindy Booth",88.0,LionsGate Entertainment,18.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Steven Quale,"J.K. Simmons, Sullivan Stapleton, Charlie Bewley, Sylvia Hoeks, Joshua Henry",106.0,EuropaCorp,41.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Jon Hurwitz, Hayden Schlossberg","Alyson Hannigan, Jason Biggs, Chris Klein, Thomas Ian Nicholas, Tara Reid",112.0,Universal Studios,63.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Éva Gárdos,"Nastassja Kinski, Scarlett Johansson, Tony Goldwyn, Mae Whitman, Agnes Banfalvy",102.0,Paramount Classics,66.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Clint Eastwood,"Bradley Cooper, Sienna Miller, Luke Grimes, Kyle Gallner, Ben Reed",132.0,Warner Bros.,84.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Robert Pulcini, Shari Springer Berman","Paul Giamatti, Hope Davis, Judah Friedlander, James Urbaniak, Earl Billings",100.0,Fine Line Features,86.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Matthew Kaufman, Jon Hart, Mathew Kaufman",,81.0,Magnolia,49.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nanette Burstein,"Hannah Bailey, Colin Clemens, Mitch Reinholt, Megan Krizmanich, Jake Tusing",100.0,Paramount Vantage,59.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Nima Nourizadeh,"Jesse Eisenberg, Kristen Stewart, Topher Grace, Tony Hale, John Leguizamo",96.0,Lionsgate Pictures,45.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Disney,"Nicole Beharie, Alfre Woodard, Michael O'Keefe, Tim Blake Nelson, Will Patton",102.0,Samuel Goldwyn Films,79.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jesse Dylan,"Jason Biggs, Seann William Scott, Alyson Hannigan, Eddie Kaye Thomas, Thomas Ian Nicholas",97.0,Universal Pictures,63.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grace  Lee, Grace Lee","Austin Basis, Jane Edith Wilson, Al Vicente, Suzy Nakamura, John Solomon",90.0,iHQ,40.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mathieu Demy,"Mathieu Demy, Salma Hayek, Geraldine Chaplin, Chiara Mastroianni, Carlos Bardem",105.0,Bac Films,27.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Joe Roth,"Julia Roberts, Billy Crystal, Catherine Zeta-Jones, John Cusack, Hank Azaria",102.0,Columbia Pictures,40.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
,"Rachel Nocholas, David Michael Gee",89.0,MGM,52.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Franck Khalfoun,"Jennifer Jason Leigh, Bella Thorne, Cameron Monaghan, Kurtwood Smith, Taylor Spreitler",85.0,Dimension Films,32.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Alejandro González Iñárritu,"Emilio Echevarría, Gael García Bernal, Goya Toledo, Alvaro Guerrero, Vanessa Bauche",153.0,Lionsgate,94.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Michael Haneke, Michaelhaneke","Jean-Louis Trintignant, Emmanuelle Riva, Isabelle Huppert, Alexandre Tharaud, William Shimell",127.0,Sony Pictures Classics,82.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Asif Kapadia,"Yasiin Bey, Mark Ronson, Tony Bennett, Pete Doherty, Blake Fielder-Civil",128.0,A24 Films,87.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
David Zucker,"Kevin P. Farley, Kelsey Grammer, Leslie Nielsen, Trace Adkins, Robert Davi",84.0,Vivendi Entertainment,47.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lone Scherfig,"Carey Mulligan, Peter Sarsgaard, Alfred Molina, Dominic Cooper, Rosamund Pike",100.0,Sony Classics,80.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Jon Shenk, Bonni Cohen","Al Gore, Barack Obama, Donald Trump",100.0,Paramount Pictures,50.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Marilyn Agrelo,"Jessica Alba, Chris Messina, J.K. Simmons, John Shea, Bailee Madison",96.0,IFC Films,33.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Dwight H. Little, Dwight Little","Matthew Marsden, Johnny Messner, KaDee Strickland, Nicholas Gonzalez, Salli Richardson",96.0,Sony Pictures Releasing,27.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Harold Ramis,"Robert De Niro, Billy Crystal, Lisa Kudrow, Joe Viterelli, Cathy Moriarty",95.0,Warner Bros.,39.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Henry Miller, H.S. Miller","Willem Dafoe, Scott Speedman, Peter Stormare, Clea DuVall, James Rebhorn",104.0,IFC First Take,24.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Jordan Susman,"Devon Gummersall, Dylan Bruno, John Savage, Katharine Towne, Gina Philips",101.0,Innovation Film Group,54.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Michael Almereyda,"Ethan Hawke, Ed Harris, Milla Jovovich, Dakota Johnson, Anton Yelchin",85.0,Lionsgate Pictures,14.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stefan Ruzowitzky,"Franka Potente, Benno Fürmann, Anna Loos, Sebastian Blomberg, Holger Speckhahn",103.0,Columbia TriStar Film Distribu,47.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Stefan Ruzowitzky,"Barnaby Metschurat, Herbert Knaup, Heike Makatsch, Roman Knizka, Wotan Wilke Möhring",101.0,Sony Pictures Home Entertainment,42.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Adam McKay,"Will Ferrell, Christina Applegate, Paul Rudd, David Koechner, Fred Willard",95.0,Dreamworks,86.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam McKay,"Will Ferrell, Paul Rudd, Steve Carell, David Koechner, Christina Applegate",119.0,Paramount Pictures,52.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven Soderbergh,Spalding Gray,89.0,IFC Films,71.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Claude Lelouch,"Jeremy Irons, Patricia Kaas, Thierry Lhermitte, Alessandra Martines, Claudia Cardinale",133.0,Paramount Classics,56.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
Rob Reiner,"Michael Douglas, Diane Keaton, Sterling Jerins, Frances Sternhagen, Scott Shepherd",94.0,Clarius Entertainment,40.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Marcos Efron,"Amber Heard, Odette Annable, Karl Urban, Adriana Barraza, Gia Mantegna",91.0,Anchor Bay Films,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Ric Roman Waugh,"Gerard Butler, Morgan Freeman, Jada Pinkett Smith, Lance Reddick, Tim Blake Nelson",121.0,Lionsgate,93.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Luc Besson,"Jamel Debbouze, Rie Rasmussen, Gilbert Melki, Serge Riaboukine, Akim Chir",90.0,Sony Pictures Classics,74.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Gurinder Chadha,"Georgia Groome, Alan Davies, Karen Taylor, Aaron Taylor-Johnson, Steve Jones",99.0,Nickelodeon Movies,71.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Steve Buscemi,"Willem Dafoe, Edward Furlong, Seymour Cassel, Mickey Rourke, Steve Buscemi",90.0,Silver Nitrate,58.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
David Michôd,"Ben Mendelsohn, Joel Edgerton, Guy Pearce, Luke Ford, Jacki Weaver",112.0,Sony Pictures Classics,83.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andy Jones,"John DiMaggio, Kevin Michael Richardson, Pamela Adlon, Bette Ford, Rick Gomez",102.0,Warner Home Video,78.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
Luc Besson,"Luke Evans, Cillian Murphy, Helen Mirren, Sasha Luss",119.0,,81.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
John McPhail,"Ella Hunt, Malcolm Cumming, Sarah Swire, Christopher Leveaux, Marli Siu",92.0,,61.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Joe Wright,"Keira Knightley, Jude Law, Aaron Taylor-Johnson, Matthew MacFadyen, Domhnall Gleeson",129.0,Focus Features,50.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
John R. Leonetti,"Annabelle Wallis, Ward Horton, Alfre Woodard, Tony Amendola, Eric Ladin",98.0,New Line Cinema,36.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gary Dauberman,"Patrick Wilson, Vera Farmiga, McKenna Grace, Madison Iseman, Katie Sarife",106.0,New Line Cinema,70.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
David F. Sandberg,"Stephanie Sigman, Talitha Bateman, Lulu Wilson, Philippa Coulthard, Grace Fulton",109.0,New Line Cinema,67.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Justin Lin,"James Franco, Tyrese Gibson, Jordana Brewster, Donnie Wahlberg, Roger Fan",98.0,Walt Disney Pictures,60.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Will Gluck,"Jamie Foxx, Rose Byrne, Bobby Cannavale, Cameron Diaz, Adewale Akinnuoye-Agbaje",118.0,Sony Pictures,59.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
Alex Garland,"Natalie Portman, Jennifer Jason Leigh, Gina Rodriguez, Tessa Thompson, Tuva Novotny",115.0,Paramount Pictures,66.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Jennifer Jason Leigh, Alan Cumming","Alan Cumming, Jennifer Jason Leigh, Gwyneth Paltrow, Kevin Kline, Phoebe Cates",115.0,Fine Line Features,58.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Charlie Kaufman, Duke Johnson","David Thewlis, Jennifer Jason Leigh, Tom Noonan",90.0,Starburns Industries,71.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Roland Emmerich,"Rhys Ifans, Vanessa Redgrave, Joely Richardson, Sebastian Armesto, Rafe Spall",130.0,Sony Pictures,53.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mike Cahill,"Brit Marling, Matthew-Lee Erlbach, D.J. Flava, William Mapother, Meggan Lennon",92.0,Fox Searchlight,66.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Todd Stephens,"Michael Carbonaro, Jonah Blechman, Richard Hatch, Jonathan Chase, Mitch Morris",94.0,TLA Releasing,62.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Todd Stephens,"Jonah Blechman, Jimmy Clabots, Jake Mosser, Aaron Michael Davies, RuPaul",98.0,TLA Releasing,34.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Levinson,"Ellen Barkin, Thomas Haden Church, Kate Bosworth, Demi Moore, Ezra Miller",115.0,Phase 4 Films,44.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mike Leigh,"Jim Broadbent, Ruth Sheen, Lesley Manville, Oliver Maltman, Peter Wight",129.0,Sony Classics,74.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
John Hindman,"Jeff Daniels, Lauren Graham, Lou Taylor Pucci, Olivia Thirlby, Kat Dennings",96.0,Magnolia Pictures,42.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Matthew Leutwyler,"Dane Cook, Elizabeth Mitchell, Julie Benz, Barbara Hershey, Zach Gilford",124.0,Roadside Attractions,36.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
John A. Davis,"Julia Roberts, Nicolas Cage, Meryl Streep, Paul Giamatti, Zach Tyler",88.0,Warner Bros. Pictures,42.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Peyton Reed,"Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins, Bobby Cannavale",118.0,Walt Disney Pictures,75.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Anthony Powell,"Genevieve Bachman, Genevieve Bachmann, William Brotman, Michael Christiansen, Tom Hamann",91.0,Music Box Films,81.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Sean Ellis (II),"Cillian Murphy, Jamie Dornan, Charlotte Le Bon, Toby Jones, Harry Lloyd",120.0,LD Entertainment,71.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Keir Burrows,"Yaiza Figueroa, Philippa Carson, Tom Barber-Duffy, Noah Maxwell Clarke, James Farrar (III)",109.0,Uncork'd Entertainment,78.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
Peter Howitt,"Ryan Phillippe, Rachael Leigh Cook, Claire Forlani, Tim Robbins, Richard Roundtree",107.0,MGM/UA,50.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Brandon Cronenberg,"Caleb Landry Jones, Sarah Gadon, Douglas Smith, Joe Pingue, Malcolm McDowell",108.0,IFC,40.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
Peyton Reed,"Paul Rudd, Michael Douglas, Evangeline Lilly, Corey Stoll, Michael Peña",117.0,Disney/Marvel,86.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Denzel Washington,"Derek Luke, Denzel Washington, Joy Bryant, Salli Richardson-Whitfield, Earl Billings",120.0,Fox Searchlight Pictures,86.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sacha Gervasi,"Steve ""Lips"" Kudlow, Robb Reiner, Slash, Glenn Five, Chris Tsangarides",85.0,Abramorama,91.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Travis Fine,"Alan Cumming, Garret Dillahunt, Isaac Leyva, Gregg Henry, Frances Fisher",100.0,Music Box Films,76.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Woody Allen,"Jason Biggs, Christina Ricci, Woody Allen, Danny DeVito, Stockard Channing",108.0,DreamWorks SKG,44.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne Wang,"Susan Sarandon, Natalie Portman, Bonnie Bedelia, Shawn Hatosy, Hart Bochner",114.0,Twentieth Century Fox Home Entertainment,55.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Francis Ford Coppola,"Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest, Albert Hall",195.0,Miramax Films,91.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mel Gibson,"Rudy Youngblood, Dalia Hernandez, Jonathan Brewer, Raoul Trujillo, Gerardo Taracena",137.0,Buena Vista,79.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Todd Douglas Miller,"Buzz Aldrin, Neil Armstrong, Johnny Carson, Michael Collins",93.0,NEON,90.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gonzalo López-Gallego,"Warren Christie, Lloyd Owen, Ryan Robbins, Michael Kopsa, Andrew Airlie",86.0,The Weinstein Company,23.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Gareth Evans,"Dan Stevens, Lucy Boynton, Mark Lewis Jones, Bill Milner, Kristine Froseth",129.0,Netflix,54.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mark Elijah Rosenberg,"Luke Wilson, Mark Strong (II), Sanaa Lathan, Anders Danielsen Lie, Charles Baker (II)",90.0,Rooftop Films,14.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
Desiree Akhavan,"Desiree Akhavan, Rebecca Henderson, Halley Feiffer, Anh Duong, Scott Adsit",86.0,Gravitas Ventures,64.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre Salvadori,"Daniel Auteuil, José Garcia, Sandrine Kiberlain, Marilyne Canto, Garence Clavel",109.0,Paramont Classics,66.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Christian Desmares, Franck Ekinci","Marion Cotillard, Philippe Katerine, Jean Rochefort, Olivier Gourmet, Macha Grenon",105.0,GKIDS,77.0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trish  Doolan,"Maria Cina, Trish  Doolan, Randall Batinkoff, Denise Miller, Joe Tabbanella",100.0,Regent Releasing,34.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
